Louisville_intype,Louisville_insubtype,Louisville_indate,Louisville_surreason,Louisville_outtype,Louisville_outsubtype,Louisville_outdate,Louisville_animaltype,Louisville_bites,Louisville_petsize,Dallas_Animal Type,Dallas_Animal Breed,Dallas_Intake Type,Dallas_Intake Subtype,Dallas_Intake Date,Dallas_Outcome Type,Dallas_Outcome Subtype,Dallas_Month,Dallas_Year
STRAY,OTC,2022-05-01,STRAY,RTO,IN KENNEL,2022-05-02,DOG,N,MED,DOG,CHIHUAHUA SH,OWNER SURRENDER,URGENT,2022-12-07,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,FIELD,2022-04-12,STRAY,RTO,IN KENNEL,2022-04-18,DOG,N,LARGE,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-11-11,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
CONFISCATE,CRUELTY,2022-04-12,VIOLATION,DISPOSAL,NECROPSY,2022-04-14,DOG,N,MED,DOG,LABRADOR RETR,STRAY,AT LARGE,2022-10-18,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-10-06,STRAY,RTO,IN KENNEL,2022-10-11,CAT,N,MED,DOG,PIT BULL,OWNER SURRENDER,APPOINT,2022-12-21,EUTHANIZED,SPACE:MED,FY2024,FY2023
STRAY,FIELD,2022-04-15,STRAY,RTO,IN KENNEL,2022-04-27,DOG,N,LARGE,DOG,PIT BULL,OWNER SURRENDER,QUARANTINE,2022-10-31,DISPOSAL,RABIESTEST,FY2024,FY2023
STRAY,OTC,2022-09-12,STRAY,RTO,IN FIELD,2022-09-12,DOG,N,MED,DOG,PIT BULL,OWNER SURRENDER,APPOINT,2022-12-10,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-07-16,DOA,DISPOSAL,NECROPSY,2022-07-20,DOG,Y,LARGE,DOG,BERNESE HOUND,STRAY,CONFINED,2022-12-25,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-06-29,STRAY,RTO,IN FIELD,2022-06-30,DOG,N,LARGE,DOG,DOBERMAN PINSCH,FOSTER,APPOINT,2022-12-12,ADOPTION,IN FOSTER,FY2024,FY2023
OWNER SUR,EUTH REQ,2022-06-29,PETMEDICAL,EUTH,REQUESTED,2022-06-29,DOG,N,MED,CAT,DOMESTIC MH,KEEPSAFE,OWN DECEAS,2022-12-26,TRANSFER,GENERAL,FY2024,FY2023
OWNER SUR,FIELD,2022-05-03,AGG PEOPLE,EUTH,REQUESTED,2022-05-03,DOG,N,MED,DOG,ALASKAN HUSKY,STRAY,AT LARGE,2022-12-16,RETURNED TO OWNER,FIELD,FY2024,FY2023
OWNER SUR,RETURN 30,2022-02-01,OWNER MED,ADOPTION,WALK IN,2022-02-14,CAT,N,KITTN,DOG,MIXED BREED,OWNER SURRENDER,WALK IN,2022-10-06,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-03-06,STRAY,ADOPTION,THIRDPARTY,2022-03-11,DOG,N,LARGE,DOG,LABRADOR RETR,STRAY,AT LARGE,2022-10-27,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-11-13,STRAY,ADOPTION,WALK IN,2023-01-05,DOG,N,MED,DOG,CHIHUAHUA SH,CONFISCATED,QUARANTINE,2022-11-25,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-01-14,STRAY,ADOPTION,WALK IN,2022-02-05,DOG,N,MED,DOG,AMERICAN STAFF,STRAY,AT LARGE,2022-11-10,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-11-14,STRAY,RTO,IN KENNEL,2022-11-19,DOG,N,LARGE,DOG,GERM SHEPHERD,STRAY,AT LARGE,2022-12-11,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-05-12,STRAY,ADOPTION,THIRDPARTY,2022-05-26,DOG,N,LARGE,DOG,POODLE MIN,STRAY,AT LARGE,2022-11-13,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,FIELD,2022-04-12,STRAY,RTO,IN KENNEL,2022-04-18,DOG,Y,LARGE,DOG,GERM SHEPHERD,CONFISCATED,QUARANTINE,2022-11-07,EUTHANIZED,BITE,FY2024,FY2023
STRAY,OTC,2022-01-29,STRAY,RTO,IN KENNEL,2022-02-02,DOG,N,LARGE,DOG,CHIHUAHUA SH,TRANSFER,STRAY,2022-12-11,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-01-08,STRAY,RTO,IN KENNEL,2022-01-11,DOG,N,LARGE,DOG,LABRADOR RETR,OWNER SURRENDER,WALK IN,2022-11-13,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-02-23,STRAY,EUTH,BEHAV OBSV,2022-03-15,DOG,N,PUPPY,DOG,GERM SHEPHERD,OWNER SURRENDER,WALK IN,2022-11-12,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-07-23,STRAY,RTO,IN KENNEL,2022-07-26,DOG,Y,SMALL,DOG,MIXED BREED,OWNER SURRENDER,URGENT,2022-11-23,TRANSFER,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-04-13,STRAY,ADOPTION,INTERNET,2022-04-30,DOG,Y,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-16,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-09-19,STRAY,ADOPTION,INTERNET,2022-11-05,DOG,N,LARGE,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-12-26,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,FIELD,2022-09-13,STRAY,RTO,IN KENNEL,2022-09-14,DOG,N,MED,DOG,MIXED BREED,STRAY,CONFINED,2022-10-17,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-05-03,STRAY,RTO,IN KENNEL,2022-05-09,DOG,N,TOY,DOG,LABRADOR RETR,STRAY,AT LARGE,2022-11-18,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-08-08,STRAY,RTO,IN KENNEL,2022-08-08,DOG,N,LARGE,DOG,GERM SHEPHERD,STRAY,AT LARGE,2022-12-26,FOSTER,SAME DAY,FY2024,FY2023
FOSTER,RETURN,2022-09-23,FOSTER RET,ADOPTION,INTERNET,2022-09-23,DOG,N,MED,DOG,MIXED BREED,TRANSFER,OWNER SURR,2022-10-12,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-08-31,ABANDON,TRANSFER,KHS,2022-09-12,DOG,N,MED,DOG,PIT BULL,OWNER SURRENDER,QUARANTINE,2022-11-03,EUTHANIZED,BITE,FY2024,FY2023
FOSTER,RETURN,2022-05-25,FOSTER RET,EUTH,REQUESTED,2022-06-06,DOG,Y,SMALL,DOG,PIT BULL,STRAY,TRAP,2022-12-14,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-12-29,STRAY,RTO,IN KENNEL,2023-01-04,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-31,ADOPTION,WESTMORELD,FY2024,FY2023
OWNER SUR,FIELD,2022-10-11,AGG PEOPLE,EUTH,REQUESTED,2022-10-11,DOG,Y,LARGE,DOG,BLUETICK HOUND,STRAY,AT LARGE,2022-11-04,RETURNED TO OWNER,FIELD,FY2024,FY2023
FOSTER,RETURN,2022-07-25,FOSTER RET,EUTH,HOSPICE,2022-07-25,DOG,N,MED,DOG,PIT BULL,OWNER SURRENDER,WALK IN,2022-12-03,TRANSFER,GENERAL,FY2024,FY2023
STRAY,FIELD,2022-12-09,STRAY,RTO,IN FIELD,2022-12-09,DOG,N,LARGE,DOG,PARSON RUSS TER,STRAY,AT LARGE,2022-12-02,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-05-17,STRAY,ADOPTION,WALK IN,2022-05-26,DOG,N,MED,DOG,GERM SHEPHERD,STRAY,AT LARGE,2022-11-09,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,FIELD,2022-02-27,STRAY,ADOPTION,WALK IN,2022-03-13,DOG,N,LARGE,DOG,PIT BULL,STRAY,CONFINED,2022-12-14,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,FIELD,2022-04-17,STRAY,RTO,IN KENNEL,2022-04-19,DOG,Y,LARGE,DOG,GOLDEN RETR,STRAY,AT LARGE,2022-12-05,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-07-07,STRAY,FOSTER,TIME/SPACE,2022-07-15,DOG,N,LARGE,DOG,PIT BULL,CONFISCATED,QUARANTINE,2022-11-27,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,FIELD,2022-04-28,STRAY,RTO,IN KENNEL,2022-04-29,DOG,N,MED,DOG,LABRADOR RETR,STRAY,AT LARGE,2022-10-28,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
CONFISCATE,POLICE,2022-04-20,UNKNOWN,RTO,IN KENNEL,2022-04-23,DOG,N,MED,CAT,DOMESTIC SH,OWNER SURRENDER,PICK UP,2022-10-24,ADOPTION,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-03-19,FOSTER RET,ADOPTION,WALK IN,2022-04-11,DOG,Y,LARGE,DOG,CHIHUAHUA SH,OWNER SURRENDER,PICK UP,2022-12-18,EUTHANIZED,MEDICAL,FY2024,FY2023
OWNER SUR,FIELD,2022-12-12,OWNER DIED,TRANSFER,RESCUE GRP,2023-01-14,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-05,ADOPTION,WESTMORELD,FY2024,FY2023
OWNER SUR,EUTH REQ,2022-02-02,AGG PEOPLE,EUTH,REQUESTED,2022-02-15,DOG,Y,LARGE,DOG,LABRADOR RETR,CONFISCATED,QUARANTINE,2022-10-11,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
OWNER SUR,EUTH REQ,2022-06-08,EUTH OLD,EUTH,REQUESTED,2022-06-08,DOG,N,MED,DOG,BLACK MOUTH CUR,CONFISCATED,QUARANTINE,2022-11-17,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-03-11,STRAY,RTO,IN KENNEL,2022-03-12,DOG,N,MED,DOG,AM PIT BULL TER,TRANSFER,STRAY,2022-11-19,EUTHANIZED,SPACE,FY2024,FY2023
OWNER SUR,FIELD,2022-03-15,AGG PEOPLE,EUTH,REQUESTED,2022-03-30,DOG,Y,MED,DOG,CHIHUAHUA SH,STRAY,CONFINED,2022-12-14,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-06-07,STRAY,RTO,IN KENNEL,2022-06-08,DOG,N,LARGE,DOG,GERM SHEPHERD,STRAY,AT LARGE,2022-12-24,FOSTER,GENERAL,FY2024,FY2023
STRAY,OTC,2022-02-15,STRAY,TNR,CARETAKER,2022-02-17,CAT,N,MED,DOG,MIXED BREED,FOSTER,APPOINT,2022-10-29,TRANSFER,TRANSPORT,FY2024,FY2023
STRAY,FIELD,2022-04-25,STRAY,RTO,IN KENNEL,2022-04-27,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-02-21,STRAY,TNR,CARETAKER,2022-02-23,CAT,N,MED,DOG,MIXED BREED,OWNER SURRENDER,WALK IN,2022-12-13,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-03-16,STRAY,ADOPTION,WALK IN,2022-04-05,DOG,N,PUPPY,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-06,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-02-21,STRAY,TNR,CARETAKER,2022-02-23,CAT,N,MED,DOG,GERM SHEPHERD,STRAY,AT LARGE,2022-12-11,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-02-21,STRAY,TNR,CARETAKER,2022-02-23,CAT,N,MED,DOG,PIT BULL,STRAY,AT LARGE,2022-12-17,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-09-19,STRAY,RTO,IN KENNEL,2022-10-18,CAT,N,SMALL,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-11-02,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-03-14,STRAY,TNR,CARETAKER,2022-03-16,CAT,N,MED,DOG,CHIHUAHUA SH,OWNER SURRENDER,APPOINT,2022-12-01,TRANSFER,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-06-17,STRAY,FOSTER,VACATION,2022-07-05,DOG,Y,LARGE,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-19,EUTHANIZED,SPACE:BEH,FY2024,FY2023
OWNER SUR,EUTH REQ,2022-11-03,EUTH MED,EUTH,REQUESTED,2022-11-03,DOG,N,MED,DOG,RAT TERRIER,OWNER SURRENDER,APPOINT,2022-10-06,EUTHANIZED,DD/AGG,FY2024,FY2023
STRAY,FIELD,2022-07-30,STRAY,RTO,IN KENNEL,2022-08-03,DOG,N,MED,DOG,RAT TERRIER,OWNER SURRENDER,APPOINT,2022-10-06,EUTHANIZED,DD/AGG,FY2024,FY2023
STRAY,FIELD,2022-02-26,STRAY,TRANSPORT,RESCUE GRP,2022-03-19,DOG,N,LARGE,DOG,SCHNAUZER MIN,STRAY,AT LARGE,2022-12-19,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
OWNER SUR,FIELD,2022-10-28,AGG PEOPLE,EUTH,REQUESTED,2022-11-09,DOG,Y,MED,DOG,MIXED BREED,FOSTER,APPOINT,2022-12-27,ADOPTION,IN FOSTER,FY2024,FY2023
STRAY,FIELD,2022-05-02,STRAY,RTO,IN FIELD,2022-05-02,DOG,N,LARGE,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-18,FOSTER,GENERAL,FY2024,FY2023
STRAY,FIELD,2022-01-08,STRAY,RTO,IN KENNEL,2022-01-11,DOG,N,LARGE,DOG,LABRADOR RETR,STRAY,AT LARGE,2022-12-28,EUTHANIZED,SPACE:BEH,FY2024,FY2023
STRAY,OTC,2022-02-08,STRAY,TNR,CARETAKER,2022-02-10,CAT,N,MED,DOG,CAIRN TERRIER,STRAY,AT LARGE,2022-11-09,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-02-08,STRAY,TNR,CARETAKER,2022-02-10,CAT,N,MED,DOG,PIT BULL,STRAY,AT LARGE,2022-11-12,EUTHANIZED,SPACE,FY2024,FY2023
CONFISCATE,ABANDONED,2022-05-09,ABANDON,RTO,IN KENNEL,2022-05-14,DOG,N,LARGE,DOG,AUST SHEPHERD,OWNER SURRENDER,WALK IN,2022-12-11,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-05-23,STRAY,RTO,IN KENNEL,2022-05-24,DOG,N,LARGE,DOG,SIBERIAN HUSKY,STRAY,AT LARGE,2022-11-24,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-02-14,STRAY,TNR,CARETAKER,2022-02-16,CAT,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-11,EUTHANIZED,SPACE:MED,FY2024,FY2023
STRAY,OTC,2022-03-16,STRAY,FOSTER,VACATION,2022-06-01,DOG,N,LARGE,DOG,MIXED BREED,OWNER SURRENDER,APPOINT,2022-10-25,TRANSFER,GENERAL,FY2024,FY2023
STRAY,OTC,2022-03-14,STRAY,TNR,CARETAKER,2022-03-16,CAT,N,MED,DOG,PIT BULL,CONFISCATED,QUARANTINE,2022-11-08,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-03-30,STRAY,TNR,CARETAKER,2022-04-01,CAT,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-06,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-02-28,STRAY,TNR,CARETAKER,2022-03-02,CAT,N,MED,DOG,LABRADOR RETR,STRAY,AT LARGE,2022-12-04,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-05-04,STRAY,RTO,IN KENNEL,2022-05-05,DOG,N,SMALL,DOG,STAFFORDSHIRE,TRANSFER,STRAY,2022-12-22,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-02-18,STRAY,RTO,IN KENNEL,2022-02-18,DOG,N,SMALL,DOG,MIXED BREED,FOSTER,QUARANTINE,2022-12-03,ADOPTION,BY FOSTER,FY2024,FY2023
STRAY,FIELD,2022-01-14,STRAY,RTO,IN FIELD,2022-01-19,DOG,Y,SMALL,DOG,POMERANIAN,OWNER SURRENDER,WALK IN,2022-12-30,TRANSFER,MEDICAL,FY2024,FY2023
STRAY,FIELD,2022-05-13,STRAY,FOSTER,VACATION,2022-05-25,DOG,Y,SMALL,DOG,PIT BULL,OWNER SURRENDER,URGENT,2022-12-28,EUTHANIZED,BEHAVIOR,FY2024,FY2023
OWNER SUR,OTC,2022-04-12,AGG PEOPLE,EUTH,REQUESTED,2022-04-27,DOG,Y,PUPPY,DOG,GOLDEN RETR,CONFISCATED,QUARANTINE,2022-10-03,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-12-16,STRAY,RTO,IN KENNEL,2022-12-16,CAT,N,LARGE,DOG,PIT BULL,STRAY,AT LARGE,2022-10-05,RETURNED TO OWNER,FIELD,FY2024,FY2023
CONFISCATE,HOSPITAL,2022-05-19,STRAY,RTO,IN KENNEL,2022-05-26,DOG,Y,LARGE,DOG,CHOW CHOW,FOSTER,APPOINT,2022-10-17,ADOPTION,BY FOSTER,FY2024,FY2023
STRAY,OTC,2022-08-13,STRAY,RTO,IN KENNEL,2022-08-17,DOG,N,MED,DOG,MIXED BREED,OWNER SURRENDER,URGENT,2022-12-22,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-02-23,STRAY,TNR,CARETAKER,2022-02-25,CAT,N,MED,DOG,PIT BULL,STRAY,AT LARGE,2022-12-09,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-03-08,STRAY,TNR,CARETAKER,2022-03-10,CAT,N,MED,DOG,BOXER,OWNER SURRENDER,APPOINT,2022-11-17,EUTHANIZED,DD/AGG,FY2024,FY2023
STRAY,FIELD,2022-10-28,STRAY,RTO,IN FIELD,2022-10-28,DOG,N,PUPPY,DOG,GREAT PYRENEES,STRAY,AT LARGE,2022-12-13,RETURNED TO OWNER,FIELD,FY2024,FY2023
OWNER SUR,RETURN 30,2022-02-01,OWNER MED,ADOPTION,WALK IN,2022-02-14,CAT,N,KITTN,DOG,PIT BULL,STRAY,AT LARGE,2022-10-13,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-06-09,STRAY,ADOPTION,WALK IN,2022-07-07,DOG,N,MED,DOG,MIXED BREED,STRAY,CONFINED,2022-10-06,TRANSFER,GENERAL,FY2024,FY2023
STRAY,OTC,2022-09-09,STRAY,RTO,IN KENNEL,2022-09-10,DOG,N,PUPPY,DOG,LABRADOR RETR,TRANSFER,OWNER SURR,2022-12-02,FOSTER,SAME DAY,FY2024,FY2023
STRAY,FIELD,2022-08-26,DOA,DISPOSAL,DEAD ARRIV,2022-08-31,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-02,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-02-18,STRAY,RTO,IN KENNEL,2022-02-24,DOG,N,SMALL,DOG,MIXED BREED,FOSTER,APPOINT,2022-10-23,ADOPTION,IN FOSTER,FY2024,FY2023
STRAY,OTC,2022-01-10,STRAY,RTO,IN KENNEL,2022-01-18,DOG,N,MED,DOG,MIXED BREED,STRAY,CONFINED,2022-10-02,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-05-07,STRAY,RTO,IN KENNEL,2022-05-08,DOG,N,MED,DOG,AUST CATTLE DOG,OWNER SURRENDER,APPOINT,2022-12-01,ADOPTION,WESTMORELD,FY2024,FY2023
CONFISCATE,DANGER DOG,2022-03-15,AGG ANIMAL,RTO,IN KENNEL,2022-04-11,DOG,Y,MED,DOG,ALASKAN HUSKY,STRAY,AT LARGE,2022-12-14,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-03-22,DOA,DISPOSAL,DEAD ARRIV,2022-03-27,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-20,RETURNED TO OWNER,FIELD,FY2024,FY2023
OWNER SUR,FIELD,2022-07-09,EUTH OTHER,EUTH,REQUESTED,2022-07-09,DOG,Y,LARGE,DOG,MIXED BREED,OWNER SURRENDER,APPOINT,2022-10-07,TRANSFER,GENERAL,FY2024,FY2023
DISPOSAL,FIELD,2022-10-13,AGG ANIMAL,DISPOSAL,BY OWNER,2022-10-13,DOG,Y,MED,DOG,MIXED BREED,TRANSFER,STRAY,2022-10-07,ADOPTION,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-06-02,STRAY,TRANSFER,RESCUE GRP,2022-06-05,DOG,N,LARGE,DOG,LABRADOR RETR,CONFISCATED,QUARANTINE,2022-10-10,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
